fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
0,2,1,5,0,31,1,0,0,0,25
16200000,1,1,7,0,0,0,0,0,0,25
0,1,0,7,1,1,0,0,1,0,25
0,1,0,1,1,1,0,0,0,0,25
0,1,0,1,1,1,0,0,0,0,25
0,1,0,1,1,1,0,0,0,0,25
0,1,0,1,1,1,0,0,0,0,25
8500000,4,1,7,4,8,0,0,0,0,43
8500000,3,0,4,4,5,0,0,0,0,25
7175000,1,1,10,2,21,11,1,0,0,36
7175000,1,1,3,2,21,2,1,0,0,25
0,1,1,10,0,3,0,0,1,0,25
0,1,0,4,0,0,0,0,0,0,25
0,1,1,11,3,0,15,0,1,0,25
0,1,0,1,1,1,0,0,0,0,25
0,1,0,3,0,6,0,0,0,0,25
5000000,1,0,1,6,0,0,0,0,0,25
46770000,1,1,7,6,27,0,0,0,0,25
46770000,1,0,2,6,27,0,0,0,0,25
46770000,1,0,1,6,27,0,0,0,0,25
55450000,2,1,8,0,13,3,0,0,0,25
0,1,0,3,0,0,1,0,0,0,25
800000,4,0,5,1,7,0,0,0,0,25
500000,1,1,3,0,1,0,0,0,0,46
0,1,0,3,0,0,0,0,0,0,25
130552663,1,1,3,3,7,2,0,1,0,25
130552663,1,0,2,3,7,0,0,1,0,25
5500000,2,1,13,1,8,1,0,1,0,25
0,1,1,8,0,0,0,0,0,0,25
0,1,0,1,0,0,0,0,1,0,25
584440,2,0,4,2,3,0,0,0,0,25
0,1,0,1,1,1,0,0,0,0,25
0,1,0,7,0,0,0,0,1,0,25
62100000,2,1,4,2,41,1,0,0,0,25
69713881,2,1,3,4,51,0,0,0,0,25
52000000,1,1,2,1,43,0,0,0,0,25
17500000,1,0,3,1,8,3,1,1,0,25
17500000,1,0,2,1,8,0,0,0,0,25
28701975,2,1,5,0,27,0,0,0,0,35
28701975,2,1,3,0,27,0,0,0,0,25
5000000,1,0,1,1,14,0,0,0,0,25
5000000,1,0,2,1,14,7,0,1,0,25
206121421,1,1,8,5,293,0,1,0,1,25
21500000,1,0,2,2,22,0,0,0,0,25
21500000,1,1,8,2,22,0,0,1,0,25
53460000,3,1,7,3,71,2,0,1,0,25
0,1,1,14,0,0,0,0,1,0,25
7250000,4,0,7,4,11,7,0,0,0,25
0,2,0,4,1,18,0,0,0,0,47
40927053,1,0,4,2,5,0,0,0,0,25
0,1,0,1,0,0,0,0,0,0,25
0,1,0,3,1,4,0,1,0,0,25
28000000,1,0,1,4,3,0,0,0,0,25
0,1,0,1,0,0,0,0,0,0,25
75000,1,0,1,0,0,0,0,0,0,25
6500000,1,0,1,2,2,0,0,0,0,25
0,1,0,1,1,3,0,0,0,0,25
15873700,1,0,1,0,23,0,0,0,0,25
15873700,1,0,2,0,23,1,0,0,0,43
15873700,1,0,1,0,23,1,0,0,0,25
1500000,1,0,1,1,8,0,0,0,0,25
44720000,1,0,2,1,19,0,0,0,0,25
44720000,2,0,5,1,19,0,0,0,0,25
0,3,0,4,0,0,0,0,0,0,25
5000000,1,0,1,2,1,0,0,0,0,25
7300000,2,0,3,1,3,0,0,0,0,25
39700000,2,0,2,1,1,0,0,0,0,25
43000000,3,0,4,6,9,0,0,0,0,25
2000000,3,1,3,1,1,1,0,0,0,25
8393798,1,0,3,1,9,0,0,1,0,25
8393798,1,0,2,1,9,0,0,0,0,25
2060000,1,0,3,2,2,0,0,0,0,25
0,1,0,1,1,9,0,0,0,0,25
0,1,1,3,0,1,0,0,0,0,25
0,5,0,5,1,6,0,0,0,0,25
43000000,1,0,1,5,9,0,0,0,0,25
0,3,0,5,0,0,0,0,0,0,25
0,1,0,1,0,3,2,0,0,0,25
0,2,1,18,0,8,3,0,1,0,25
0,3,0,3,1,14,0,0,0,0,25
0,3,0,3,1,14,0,0,1,0,25
0,1,0,1,1,1,0,0,0,0,25
8150000,4,0,6,1,11,0,1,1,0,49
0,1,0,2,0,186,0,0,0,0,66
